Datetime,Filename,Working case,X,Y,Angle,Note
2023-02-19 19:37:51.410056,lmTst_0_6_-6_0,0,-6,5,0,lmTst_0_6_-6_0.jpg recovered
2023-02-19 19:37:52.338524,lmTst_0_6_-9_0,0,-6,8,0,lmTst_0_6_-9_0.jpg recovered
2023-02-19 19:37:53.304968,lmTst_0_6_0_0,0,-6,0,0,lmTst_0_6_0_0.jpg recovered
2023-02-19 19:37:54.174468,lmTst_0_6_12_0,0,-6,-13,0,lmTst_0_6_12_0.jpg recovered
2023-02-19 19:37:55.065956,lmTst_0_6_3_0,0,-6,-4,0,lmTst_0_6_3_0.jpg recovered
2023-02-19 19:37:55.842510,lmTst_0_6_6_0,0,-6,-7,0,lmTst_0_6_6_0.jpg recovered
2023-02-19 19:37:56.678030,lmTst_0_6_9_0,0,-6,-10,0,lmTst_0_6_9_0.jpg recovered
2023-02-19 19:37:57.531543,lmTst_0_9_-12_0,0,-9,11,0,lmTst_0_9_-12_0.jpg recovered
2023-02-19 19:37:58.442016,lmTst_0_9_-15_0,0,-9,14,0,lmTst_0_9_-15_0.jpg recovered
2023-02-19 19:37:59.306520,lmTst_0_9_-3_0,0,-9,0,0,lmTst_0_9_-3_0.jpg recovered
2023-02-19 19:38:00.203004,lmTst_0_9_-6_0,0,-10,6,0,lmTst_0_9_-6_0.jpg recovered
2023-02-19 19:38:01.110481,lmTst_0_9_-9_0,0,-9,8,0,lmTst_0_9_-9_0.jpg recovered
2023-02-19 19:38:02.301799,lmTst_0_9_0_0,0,-9,0,0,lmTst_0_9_0_0.jpg recovered
2023-02-19 19:38:03.162303,lmTst_0_9_12_0,0,-9,-13,0,lmTst_0_9_12_0.jpg recovered
2023-02-19 19:38:04.012815,lmTst_0_9_3_0,0,-9,-4,0,lmTst_0_9_3_0.jpg recovered
2023-02-19 19:38:04.842339,lmTst_0_9_6_0,0,-9,-7,0,lmTst_0_9_6_0.jpg recovered
2023-02-19 19:38:05.723831,lmTst_0_9_9_0,0,-9,-9,0,lmTst_0_9_9_0.jpg recovered
